Date,CPI
1/11/1967,33.8
1/12/1967,33.9
1/1/1968,34.1
1/2/1968,34.2
1/3/1968,34.3
1/4/1968,34.4
1/5/1968,34.5
1/6/1968,34.7
1/7/1968,34.9
1/8/1968,35
1/9/1968,35.1
1/10/1968,35.3
1/11/1968,35.4
1/12/1968,35.5
1/1/1969,35.6
1/2/1969,35.8
1/3/1969,36.1
1/4/1969,36.3
1/5/1969,36.4
1/6/1969,36.6
1/7/1969,36.8
1/8/1969,37
1/9/1969,37.1
1/10/1969,37.3
1/11/1969,37.5
1/12/1969,37.7
1/1/1970,37.8
1/2/1970,38
1/3/1970,38.2
1/4/1970,38.5
1/5/1970,38.6
1/6/1970,38.8
1/7/1970,39
1/8/1970,39
1/9/1970,39.2
1/10/1970,39.4
1/11/1970,39.6
1/12/1970,39.8
1/1/1971,39.8
1/2/1971,39.9
1/3/1971,40
1/4/1971,40.1
1/5/1971,40.3
1/6/1971,40.6
1/7/1971,40.7
1/8/1971,40.8
1/9/1971,40.8
1/10/1971,40.9
1/11/1971,40.9
1/12/1971,41.1
1/1/1972,41.1
1/2/1972,41.3
1/3/1972,41.4
1/4/1972,41.5
1/5/1972,41.6
1/6/1972,41.7
1/7/1972,41.9
1/8/1972,42
1/9/1972,42.1
1/10/1972,42.3
1/11/1972,42.4
1/12/1972,42.5
1/1/1973,42.6
1/2/1973,42.9
1/3/1973,43.3
1/4/1973,43.6
1/5/1973,43.9
1/6/1973,44.2
1/7/1973,44.3
1/8/1973,45.1
1/9/1973,45.2
1/10/1973,45.6
1/11/1973,45.9
1/12/1973,46.2
1/1/1974,46.6
1/2/1974,47.2
1/3/1974,47.8
1/4/1974,48
1/5/1974,48.6
1/6/1974,49
1/7/1974,49.4
1/8/1974,50
1/9/1974,50.6
1/10/1974,51.1
1/11/1974,51.5
1/12/1974,51.9
1/1/1975,52.1
1/2/1975,52.5
1/3/1975,52.7
1/4/1975,52.9
1/5/1975,53.2
1/6/1975,53.6
1/7/1975,54.2
1/8/1975,54.3
1/9/1975,54.6
1/10/1975,54.9
